Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status,Match_Method,Matched_Source_Path,Copied_Output_Path
115,CAND_60A4E611C6,US and Canada Electric Vehicle Supply Chain Map - Charged,review,https://www.charged-the-book.com/na-ev-supply-chain-map,unmatched,,,
116,CAND_2B42851D60,Georgia Ports welcomes Wallenius Wilhelmsen’s new Brunswick hub facility - Georgia Ports Authority,review,https://gaports.com/press-releases/georgia-ports-welcomes-wallenius-wilhelmsens-new-brunswick-hub-facility/,unmatched,,,
117,CAND_B7C9E0422E,"Lineage Logistics Expands Port-Centric Facility Footprint in Savannah, Georgia | Financial Post",review,https://financialpost.com/pmn/press-releases-pmn/business-wire-news-releases-pmn/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia_2.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia_2.html
118,CAND_02DA515AAE,"Port of Savannah | Savannah Infrastructure | Port, Interstate, Rail, Airport",review,https://seda.org/do-business-here/infrastructure/,unmatched,,,
119,CAND_C8CF751AB0,Expanding Logistics: Georgia's Infrastrucure & Supply Chain - Georgia Trend Magazine,review,https://www.georgiatrend.com/2025/03/31/expanding-logistics-georgias-infrastrucure-supply-chain/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Expanding_Logistics_Georgia's_Infrastrucure_&_Supply_Chain_-_Georgia_Trend_Magazine.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Expanding_Logistics_Georgia's_Infrastrucure_&_Supply_Chain_-_Georgia_Trend_Magazine.html
120,CAND_51CB4EB1AA,Georgia: Logistics Focal Point - Inbound Logistics,review,https://www.inboundlogistics.com/articles/georgia-logistics-focal-point/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_Logistics_Focal_Point_-_Inbound_Logistics.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_Logistics_Focal_Point_-_Inbound_Logistics.html
121,CAND_C486957280,"GPA approves projects to expand rail, gate capacity - Georgia Ports Authority",review,https://gaports.com/press-releases/gpa-approves-projects-to-expand-rail-gate-capacity,matched,basename:Acquired_File_Path,"/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/GPA_approves_projects_to_expand_rail,_gate_capacity_-_Georgia_Ports_Authority.html","/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/GPA_approves_projects_to_expand_rail,_gate_capacity_-_Georgia_Ports_Authority.html"
122,CAND_6B58C545AB,Hyundai Mobis to build EV power system plant in Bryan County Georgia,review,https://www.usatoday.com/story/business/automotive/2022/11/25/hyundai-mobis-electric-vehicle-power-system-plant-bryan-county-georgia/10762116002,unmatched,,,
123,CAND_2CC466E44F,Transmission: Some imports from major battery supplier of Ford EV F-150 banned - FreightWaves,review,https://www.freightwaves.com/news/transmission-some-imports-from-major-battery-supplier-of-ford-ev-f-150-banned,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/transmission-some-imports-from-major-battery-supplier-of-ford-ev-f-150-banned.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/transmission-some-imports-from-major-battery-supplier-of-ford-ev-f-150-banned.html
124,CAND_580FAA5582,"Transportation, Distribution & Logistics | Georgia Department of Economic Development",review,https://georgia.org/industries/logistics-supply-chain,unmatched,,,
125,CAND_3574D69362,Third Hyundai supplier sets up factory near upcoming EV plant | Manufacturing Dive,review,https://www.manufacturingdive.com/news/third-hyundai-supplier-sets-up-factory-near-incoming-ev-plant/640074/,unmatched,,,
126,CAND_E6EB069F0C,Food Processing | Georgia Food Manufacturing Licenses & Permits,review,https://www.georgia.org/industries/food-processing,unmatched,,,
127,CAND_AF848B9D64,Food Processing | Georgia Food Manufacturing Licenses & Permits,review,https://georgia.org/industries/food-processing,unmatched,,,
128,CAND_D1FA8072FB,Hyundai supplier to build factory near automaker’s Georgia EV campus | Manufacturing Dive,review,https://www.manufacturingdive.com/news/hyundai-supplier-to-build-factory-near-its-savannah-ev-campus/636192,unmatched,,,
129,CAND_0B9999F3B4,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | Manufacturing Dive,review,https://www.manufacturingdive.com/news/hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693349,unmatched,,,
130,CAND_104BF99CDC,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | WardsAuto,review,https://www.wardsauto.com/news/archive-auto-hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693552,unmatched,,,
